Year,Split,Kind,Team,ID,Name,Place,Games,Wins,Losses,Win Rate,Kills,Deaths,Assists,KDA,CS,CS per Minute,Gold,Gold per Minute,Kill Part.,Kill Share,Gold Share,Champs Played
2013,spring,playoffs,Team Vulcun,zuna,Christopher Buechter,3,9,5,4,55.6,4.56,3.0,6.67,3.74,280.22,7.61,13.3,360.0,,,,4
2013,summer,regular season,Cloud9,balis,An Van Le,1,28,25,3,89.3,4.32,2.89,7.54,4.1,221.0,6.41,12.3,355.0,,,,7
2013,summer,regular season,Cloud9,hai,Hai Du Lam,1,28,25,3,89.3,4.86,2.71,7.93,4.71,242.18,7.03,12.9,375.0,,,,7
2013,summer,regular season,Cloud9,lemonnation,Daerek Hart,1,28,25,3,89.3,1.14,2.86,11.14,4.3,32.64,0.95,8.7,253.0,,,,5
2013,summer,regular season,Cloud9,meteos,William Hartman,1,28,25,3,89.3,2.96,1.04,10.14,12.66,160.86,4.67,10.9,316.0,,,,8
2013,summer,regular season,Cloud9,sneaky,Zachary Scuderi,1,28,25,3,89.3,4.71,1.75,7.46,6.96,257.11,7.46,13.3,385.0,,,,6
2013,summer,regular season,CLG,bigfatlp,Michael Tang,5,29,13,16,44.8,1.14,3.1,8.31,3.04,130.97,3.08,,,,,,9
2013,summer,regular season,CLG,chauster,Steve Chau,5,29,13,16,44.8,0.62,3.79,8.14,2.31,31.62,0.74,,,,,,4
2013,summer,regular season,CLG,doublelift,"Yiliang ""Peter"" Peng",5,29,13,16,44.8,4.76,2.93,5.17,3.39,369.86,8.69,,,,,,9
2013,summer,regular season,CLG,link,Austin Shin,5,29,13,16,44.8,4.48,3.21,6.0,3.27,320.34,7.52,,,,,,9
2013,summer,regular season,CLG,nien,Zachary Malhas,5,29,13,16,44.8,3.31,3.0,6.21,3.17,277.24,6.51,,,,,,12
2013,summer,regular season,Team Coast,daydreamin,Miles Hoard,7,28,9,19,32.1,0.86,3.18,6.75,2.39,33.36,0.9,7.7,209.0,,,,7
2013,summer,regular season,Team Coast,mash,Brandon Phan,7,28,9,19,32.1,2.75,2.25,5.18,3.52,292.04,7.91,12.6,343.0,,,,8
2013,summer,regular season,Team Coast,nintendudex,Joshua Atkins,7,28,9,19,32.1,1.68,3.82,6.79,2.21,104.04,2.82,8.3,226.0,,,,9
2013,summer,regular season,Team Coast,shiphtur,Danny Le,7,28,9,19,32.1,3.43,2.61,5.18,3.3,259.04,7.02,12.0,325.0,,,,12
2013,summer,regular season,Team Coast,darshan,Darshan Upadhyaya,7,27,8,19,29.6,2.93,2.96,3.85,2.29,233.67,6.41,11.2,308.0,,,,10
2013,summer,regular season,Team Coast,jintae,Justin Dinh,7,1,1,0,100.0,12.0,2.0,9.0,10.5,305.0,6.18,18.2,369.0,,,,1
2013,summer,regular season,Team Curse,cop,David Roberson,5,28,13,15,46.4,5.07,2.32,5.04,4.35,278.46,7.43,13.4,357.0,,,,9
2013,summer,regular season,Team Curse,edward,Edward Abgaryan (Եդւարդ Աբգարյան),5,28,13,15,46.4,1.18,2.57,9.29,4.07,30.86,0.82,8.0,214.0,,,,8
2013,summer,regular season,Team Curse,nyjacky,"Chenglong ""Jacky"" Wang",5,28,13,15,46.4,3.39,3.39,7.18,3.12,263.29,7.02,12.6,335.0,,,,10
2013,summer,regular season,Team Curse,saintvicious,Brandon DiMarco,5,28,13,15,46.4,1.64,3.43,9.04,3.11,134.46,3.59,9.7,258.0,,,,11
2013,summer,regular season,Team Curse,voyboy,Joedat Esfahani,5,28,13,15,46.4,3.54,2.71,6.29,3.62,254.57,6.79,12.3,329.0,,,,12
2013,summer,regular season,Team Dignitas,crumbz,Alberto Rengifo,4,29,14,15,48.3,2.1,3.62,9.03,3.08,125.21,3.37,,,,,,8
2013,summer,regular season,Team Dignitas,imaqtpie,Michael Santana,4,29,14,15,48.3,4.9,2.31,6.83,5.07,293.86,7.91,,,,,,7
2013,summer,regular season,Team Dignitas,kiwikid,Alan Nguyen,4,29,14,15,48.3,3.45,4.34,6.69,2.33,235.93,6.35,,,,,,9
2013,summer,regular season,Team Dignitas,patoy,Jordan Blackburn,4,29,14,15,48.3,1.48,2.17,10.03,5.3,39.07,1.05,,,,,,7
2013,summer,regular season,Team Dignitas,scarra,William Li,4,29,14,15,48.3,4.9,3.17,6.45,3.58,265.55,7.14,,,,,,10
2013,summer,regular season,Team SoloMid,dyrus,Marcus Hill,2,28,14,14,50.0,3.5,2.86,6.61,3.54,229.04,6.35,11.8,326.0,,,,7
2013,summer,regular season,Team SoloMid,reginaid,Andy Dinh,2,28,14,14,50.0,4.11,4.46,6.79,2.44,247.29,6.86,12.4,344.0,,,,10
2013,summer,regular season,Team SoloMid,theoddone,Brian Wyllie,2,28,14,14,50.0,1.93,2.79,8.14,3.62,127.93,3.55,9.3,259.0,,,,6
2013,summer,regular season,Team SoloMid,xpecial,Alex Chu (朱啓恩),2,28,14,14,50.0,1.0,3.14,10.11,3.53,28.86,0.8,8.2,229.0,,,,5
2013,summer,regular season,Team Vulcun,benny,Benny Hung,3,28,20,8,71.4,3.61,2.04,7.25,5.33,221.39,5.8,12.3,324.0,,,,10
2013,summer,regular season,Team Vulcun,bloodwater,Lyubomir Spasov (Любомир Спасов),3,28,20,8,71.4,1.04,2.25,12.04,5.81,37.46,0.98,9.1,238.0,,,,5
2013,summer,regular season,Team Vulcun,mancloud,Zachary Allan Hoschar,3,28,20,8,71.4,5.96,2.71,6.57,4.62,316.61,8.3,15.2,398.0,,,,12
2013,summer,regular season,Team Vulcun,xmithie,Jake Kevin Puchero,3,28,20,8,71.4,2.61,2.5,9.93,5.01,136.93,3.59,10.7,280.0,,,,9
2013,summer,regular season,Team Vulcun,zuna,Christopher Buechter,3,28,20,8,71.4,4.93,2.79,7.14,4.33,266.18,6.98,13.9,363.0,,,,7
2013,summer,regular season,Velocity eSports,maplestreet,Ainslie Wyllie,7,28,5,23,17.9,3.04,3.39,4.68,2.27,275.07,7.54,12.2,334.0,,,,10
2013,summer,regular season,Velocity eSports,nisker,Evan Stevens,7,28,5,23,17.9,0.71,4.21,7.0,1.83,23.57,0.65,7.6,209.0,,,,9
2013,summer,regular season,Velocity eSports,nk inc,Andrew Erickson,7,28,5,23,17.9,1.68,4.11,6.25,1.93,125.14,3.43,8.7,239.0,,,,12
2013,summer,regular season,Velocity eSports,cris,Cristian Rosales,7,23,3,20,13.0,3.26,4.61,4.48,1.68,206.52,5.65,10.7,292.0,,,,12
2013,summer,regular season,Velocity eSports,vileroze,Joseph Bourassa,7,17,4,13,23.5,2.47,4.06,6.06,2.1,216.0,5.79,11.2,300.0,,,,8
2013,summer,regular season,Velocity eSports,ecco,Tyler Spesick,7,16,3,13,18.8,3.0,2.94,4.88,2.68,254.88,7.19,11.5,324.0,,,,9
2013,summer,playoffs,Cloud9,balis,An Van Le,1,5,5,0,100.0,3.8,1.8,8.8,7.0,197.6,6.31,11.0,351.0,,,,2
2013,summer,playoffs,Cloud9,hai,Hai Du Lam,1,5,5,0,100.0,6.0,1.6,8.8,9.25,219.8,7.02,12.3,392.0,,,,3
2013,summer,playoffs,Cloud9,lemonnation,Daerek Hart,1,5,5,0,100.0,1.2,2.0,13.6,7.4,29.8,0.95,8.4,269.0,,,,2
2013,summer,playoffs,Cloud9,meteos,William Hartman,1,5,5,0,100.0,4.8,1.0,10.2,15.0,171.6,5.48,11.5,366.0,,,,2
2013,summer,playoffs,Cloud9,sneaky,Zachary Scuderi,1,5,5,0,100.0,6.0,1.8,7.6,7.56,222.2,7.09,12.2,391.0,,,,3
2013,summer,playoffs,CLG,bigfatlp,Michael Tang,5,4,2,2,50.0,2.75,2.0,7.5,5.13,153.25,3.86,,,,,,3
